customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure_disc_corr,TotalCharges_disc_corr
7590-VHVEG,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1,3,0,0,0
5575-GNVDE,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,2,0,2,2
3668-QPYBK,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,2,1,0,0
7795-CFOCW,1,0,0,0,0,2,1,1,0,1,1,0,0,1,0,0,0,2,2
9237-HQITU,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,3,1,0,0
9305-CDSKC,0,0,0,0,1,1,2,0,0,1,0,1,1,0,1,3,1,0,1
1452-KIOVK,1,0,0,1,1,1,2,0,1,0,0,1,0,0,1,1,0,1,2
6713-OKOMC,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,1,0
7892-POOKP,0,0,1,0,1,1,2,0,0,1,1,1,1,0,1,3,1,1,2
6388-TABGU,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,3,2
9763-GRSKD,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,2,0,1,1
7469-LKBCI,1,0,0,0,1,0,0,2,2,2,2,2,2,2,0,1,0,1,0
8091-TTVAX,1,0,1,0,1,1,2,0,0,1,0,1,1,1,0,1,0,3,3
0280-XJGEX,1,0,0,0,1,1,2,0,1,1,0,1,1,0,1,0,1,2,3
5129-JLPIS,1,0,0,0,1,0,2,1,0,1,1,1,1,0,1,3,0,1,2
3655-SNQYZ,0,0,1,1,1,1,2,1,1,1,1,1,1,2,0,1,0,3,3
8191-XWSZG,0,0,0,0,1,0,0,2,2,2,2,2,2,1,0,2,0,2,1
9959-WOFKT,1,0,0,1,1,1,2,1,0,1,0,1,1,2,0,0,0,3,3
4190-MFLUW,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1
4183-MYFRB,0,0,0,0,1,0,2,0,1,1,0,0,1,0,1,3,0,1,2
8779-QRDMV,1,1,0,0,0,2,1,0,0,1,0,0,1,0,1,3,1,0,0
1680-VDCWW,1,0,1,0,1,0,0,2,2,2,2,2,2,1,0,0,0,1,0
1066-JKSGK,1,0,0,0,1,0,0,2,2,2,2,2,2,0,0,2,1,0,0
3638-WEABW,0,0,1,0,1,1,1,0,1,0,1,0,0,2,1,1,0,3,2
6322-HRPFA,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,2,2
6865-JZNKO,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,2,2
6467-CHFZW,1,0,1,1,1,1,2,0,1,0,0,1,1,0,1,3,1,2,3
8665-UTDHZ,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,3,1,0,0
5248-YGIJN,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,1,0,3,3
8773-HHUOZ,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,2,1,1,1
3841-NFECX,0,1,1,0,1,1,2,1,1,1,1,0,0,2,1,1,0,3,3
4929-XIHVW,1,1,1,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0
6827-IEAUQ,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,2,0,1,2
7310-EGVHZ,1,0,0,0,1,0,0,2,2,2,2,2,2,0,0,0,0,0,0
3413-BMNZE,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6234-RAAPL,0,0,1,1,1,1,2,1,1,0,1,1,0,2,0,0,0,3,3
6047-YHPVI,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,3,1,0,0
6572-ADKRS,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,1,0,2,2
5380-WJKOV,1,0,0,0,1,1,2,0,1,1,0,1,1,0,1,3,1,2,2
8168-UQWWF,0,0,0,0,1,1,2,0,0,1,0,1,1,0,1,0,1,1,1
8865-TNMNX,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,2,0,1,1
9489-DEDVP,0,0,1,1,1,1,1,1,1,0,0,1,0,2,1,1,0,3,3
9867-JCZSP,0,0,1,1,1,0,0,2,2,2,2,2,2,1,0,2,0,1,1
4671-VJLCL,0,0,0,0,1,1,1,1,1,1,1,1,0,2,1,1,0,3,3
4080-IIARD,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,3,0,1,1
3714-NTNFO,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,3,0,2,3
5948-UJZLF,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0
7760-OYPDY,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,3,1,0,0
7639-LIAYI,1,0,0,0,1,1,1,1,0,0,1,1,1,2,1,1,0,2,3
2954-PIBKO,0,0,1,1,1,1,1,1,0,1,1,0,0,2,1,1,0,3,3
8012-SOUDQ,0,1,0,0,1,1,2,0,1,0,0,1,0,0,1,3,0,2,3
9420-LOJKX,0,0,0,0,1,0,2,1,1,0,0,1,1,0,1,1,1,1,2
6575-SUVOI,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,2
7495-OOKFY,0,1,1,0,1,1,2,0,1,0,0,0,0,0,1,1,1,0,1
4667-QONEA,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,3,3
1658-BYGOY,1,1,0,0,1,1,2,0,0,0,0,1,1,0,1,3,1,1,2
8769-KKTPH,0,0,1,1,1,1,2,1,0,0,0,1,1,1,1,1,0,3,3
5067-XJQFU,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,3,0,3,3
3957-SQXML,0,0,1,1,1,1,0,2,2,2,2,2,2,2,0,1,0,2,1
5954-BDFSG,0,0,0,0,1,1,2,0,0,1,1,1,1,2,1,1,0,3,3
0434-CSFON,0,0,1,0,1,1,2,0,0,1,0,1,1,0,1,3,0,2,3
1215-FIGMP,1,0,0,0,1,1,2,0,1,0,0,1,0,0,1,0,0,3,3
0526-SXDJP,1,0,1,0,0,2,1,1,1,1,0,0,0,2,0,0,0,3,2
0557-ASKVU,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1
5698-BQJOH,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,3,1,0,1
5122-CYFXA,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,3,0,0,0
8627-ZYGSZ,1,0,1,0,1,1,2,0,1,0,0,0,0,1,1,3,0,2,2
3410-YOQBQ,0,0,0,0,1,0,1,0,1,1,1,1,1,2,0,2,0,2,2
3170-NMYVV,0,0,1,1,1,0,0,2,2,2,2,2,2,2,0,0,0,2,1
7410-OIEDU,1,0,0,0,1,0,2,1,0,1,0,0,0,0,1,2,0,1,1
2273-QCKXA,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0
0731-EBJQB,0,0,1,1,1,0,0,2,2,2,2,2,2,1,1,3,0,2,1
1891-QRQSA,1,1,1,1,1,1,2,1,0,1,1,1,1,2,1,0,0,3,3
8028-PNXHQ,1,0,1,1,1,1,0,2,2,2,2,2,2,2,1,0,0,3,2
5630-AHZIL,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
2673-CXQEU,0,1,0,0,1,1,2,1,1,1,0,1,1,1,0,3,0,3,3
6416-JNVRK,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,2,2
5590-ZSKRV,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,2,0,0,1
0191-ZHSKZ,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,3,0,2,2
3887-PBQAO,0,0,1,1,1,1,0,2,2,2,2,2,2,1,1,1,0,2,1
5919-TMRGD,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,3,1,0,0
8108-UXRQN,0,0,1,1,0,2,1,1,0,0,0,1,1,0,0,3,0,1,1
9191-MYQKX,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,0,1,0,1
9919-YLNNG,0,0,0,0,1,0,2,0,1,1,1,1,1,0,1,0,0,2,3
0318-ZOPWS,0,0,1,0,1,0,0,2,2,2,2,2,2,2,1,0,0,2,1
4445-ZJNMU,1,0,0,0,1,1,2,0,1,0,0,1,1,0,1,1,0,0,1
4808-YNLEU,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,2,2
1862-QRWPE,0,0,1,1,1,0,0,2,2,2,2,2,2,2,0,0,0,2,1
2796-NNUFI,0,0,1,1,1,0,0,2,2,2,2,2,2,2,1,2,0,2,1
3016-KSVCP,1,0,1,0,0,2,1,0,0,0,0,1,0,0,0,2,0,1,1
4767-HZZHQ,1,0,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,2,2
2424-WVHPL,1,1,0,0,1,0,2,0,0,0,1,0,0,0,0,3,0,0,0
7233-PAHHL,1,0,1,1,1,1,1,1,0,1,1,1,1,2,1,2,0,3,3
6067-NGCEU,0,0,0,0,1,1,2,1,1,1,0,1,1,0,1,1,0,3,3
9848-JQJTX,1,0,0,0,1,1,2,0,1,1,0,1,1,2,1,0,0,3,3
8637-XJIVR,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,3,1,1,1
9803-FTJCG,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,3,3
0278-YXOOG,1,0,0,0,1,0,0,2,2,2,2,2,2,0,0,2,1,0,0
3212-KXOCR,1,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,0,2,1
4598-XLKNJ,0,1,1,0,1,0,2,0,1,1,0,1,1,0,1,3,1,1,2
6380-ARCEH,1,0,0,0,1,0,0,2,2,2,2,2,2,0,0,2,0,0,0
3679-XASPY,0,0,1,1,1,0,0,2,2,2,2,2,2,0,0,3,0,0,0
7123-WQUHX,1,0,0,0,1,1,2,0,0,1,1,1,0,1,0,0,0,2,2
5386-THSLQ,0,1,1,0,0,2,1,0,1,1,0,1,0,1,0,0,0,3,2
3192-NQECA,1,0,1,0,1,1,2,0,1,1,1,1,1,2,1,0,1,3,3
6180-YBIQI,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0
6728-DKUCO,0,0,1,1,1,1,2,1,1,0,0,1,1,1,1,3,0,3,3
9750-BOOHV,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,2,0,2,1
8597-CWYHH,1,0,0,0,1,1,2,0,0,0,0,1,1,1,0,2,0,2,3
2848-YXSMW,1,0,1,1,1,0,0,2,2,2,2,2,2,2,0,1,0,3,1
0486-HECZI,1,0,1,0,1,1,2,1,1,0,0,1,0,0,1,3,1,2,3
4549-ZDQYY,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,2,2
5712-AHQNN,0,0,0,0,1,0,2,0,1,1,0,1,0,0,1,3,0,2,3
4846-WHAFZ,0,1,1,0,1,1,2,0,0,0,0,0,0,0,1,3,1,2,2
5256-SKJGO,0,0,1,1,0,2,1,0,1,0,1,1,1,2,1,3,0,3,2
